STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H3))))(C(HO(R))(O(){1})))))<1>;None;C03879;None;None;N-Acetyl-beta-D-hexosaminide
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(C(OC(HRN(HC(RO))))))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(H)))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C03880;None;None;N-Substituted aminoacyl-tRNA
C(H2C(H2C(H2C(ON(HC(H2C(ON(HC(HRC(O(H)O)))))))))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))))));None;C03881;None;None;N-Tetradecanoylglycylpeptide
C(H2)(O(C(C(H)(C(C(H)(C(H)(C(H)(C(H)(C(O)(N(C(H2)(C(H2)(C(H2)(C(H2)(C(H2)(){11})))))<11>)))))C(H)(C(H)(C(O(){1}){3})))))<3>))<1>;94-62-2;C03882;None;None;N-[(E,E)-Piperoyl]piperidine|Piperine|1-Piperoyl-piperidine
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N[+1](C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){10}))))<10>C(N(H2))(){5})))){2})<5>)))<2>)<1>;None;C03883;prbamp;None;N1-(5-Phospho-D-ribosyl)-AMP|1-(5-Phosphoribosyl)-AMP
(C(H2C(H2C(HN(H2)C(O(H)O))))C(H2N(HC(N(HC(H3))N(H)))));None;C03884;None;None;Ngamma-Monomethyl-L-arginine
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(O(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))))))))))))))))))))))))))O))(){1})))))<1>;None;C03885;None;None;Nonaprenyl-4-hydroxybenzoate
C(HC(H2O(P(O(H)O(C(RO))O))))(C(HO(H))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C03886;None;None;Nucleoside 5'-phosphoacylate
C(H)(C(C(C(H)(C(H)(C(H)(C(H)(C(N(H)(){1}){3})))))<3>C(C(H)(N(C(N(HC(OC(HC(H3)C(H2C(H3))))))(C(C(H2C(H2C(H2N(HC(N(H2)N(H)))))))(N(){3})))))<3>))<1>;None;C03887;None;None;Oxidized Cypridina luciferin
C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){2})))))<2>C(C(N(H)(C(O)(C(H2)(C(C(H)(C(H)(C(O(S(O(H)OO)))(C(H)(C(H)(){7})))))<7>)))N(C(H)(C(C(C(H)(C(H)(C(O(S(O(H)OO)))(C(H)(C(H)(){7})))))<7>N(){2})))))<2>);None;C03888;None;None;Oxidized Watasenia luciferin
C(H2C(H2C(O(C(H2C(HO(C(RO))C(H2O(P(O(H)O(C(H2C(H2N[+1](C(H3)C(H3)C(H3)))))O))))))O))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))));None;C03889;None;None;Palmitoylphosphatidylcholine
(C(OC(HN(HC(OC(HN(HR)C(H2C(H2C(O(H)O))))))C(H2C(O(H)O))))N(HC(HC(O(H)O)C(H2S(S(C(H2C(HN(H2)C(O(H)O)))))))));None;C03890;None;None;Peptide(N-Glu, Asp, Cystine)
P(O(H)O(C(H2C(HO(H)C(H2O(P(O(H)O(H)O))))))O(C(H2C(HO(C(RO))C(H2O(C(RO))))))O);None;C03892;None;None;Phosphatidylglycerophosphate|3(3-sn-Phosphatidyl)-sn-glycerol1-phosphate|3(3-Phosphatidyl-)L-glycerol1-phosphate|1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol3'-phosphate
C(H)(C(HC(O(H)O))(O(C(HO(*))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(*))(C(HC(O(H)O))(O(){3})))))<3>))<1>;None;C03893;None;None;Poly(alpha-L-1,4-guluronate)
(C(H2C(HO(H)C(H3)))O(P(O(H)O(H)O)));None;C03894;None;None;Propane-1,2-diol 1-phosphate
(C(H2C(H2S(OC(H3))))C(HN(HC(RO))C(ON(HR))));None;C03895;None;None;Protein L-methionine S-oxide
(C(OC(HN(HC(OC(HN(HR)C(H2C(H2C(O(H)O))))))C(H2C(O(H)O))))N(HC(HC(O(H)O)C(H2S(S(C(H2C(HN(H2)C(O(H)O)))))))));None;C03896;None;None;Protein(N-Glu, Asp, Cystine)
C(H)(C(H)(C(O(H))(C(O(S(O(H)OO)))(C(H)(C(C(C(O(S(O(H)OO)))(C(O)(C(C(C(H)(C(O(S(O(H)OO)))(C(H)(C(O(H))(){10})))O(){7}))<10>)))<7>){1})))))<1>;None;C03897;None;None;Quercetin 3,3',7-trissulfate
C(H)(C(H)(C(O(S(O(H)OO)))(C(O(H))(C(H)(C(C(C(O(S(O(H)OO)))(C(O)(C(C(C(H)(C(O(S(O(H)OO)))(C(H)(C(O(H))(){10})))O(){7}))<10>)))<7>){1})))))<1>;None;C03898;None;None;Quercetin 3,4',7-trissulfate
N(HC(OC(H2C(H2C(HN(H2)C(O(H)O)))))C(HC(ON(HC(H2C(O(H)O))))C(H2S(C(OC(HRO(H)))))));None;C03899;None;None;S-(2-Hydroxyacyl)glutathione
C(H)(C(H)(C(S(C(H2C(HN(H2)C(O(H)O)))))(C(H)(C(H)(C(Br)(){1})))))<1>;None;C03900;None;None;S-(4-Bromophenyl)-L-cysteine
C(H2)(C(H2)(S(C(H2)(C(HC(O(H)O))(N(H)(){1})))))<1>;20960-92-3;C03901;None;None;Thiomorpholine 3-carboxylate
None;;C03903;None;None;C03903|Yeast alpha-factor pheromone|
C(HRN(HC(OC(HRN(HC(OC(HRN(H2)))))))C(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O)))))));None;C03904;None;None;alpha-N-Peptidyl-L-glutamate
C(HRN(HC(OC(HRN(HC(OC(HRN(H2)))))))C(ON(HC(HC(O(H)O)C(H2C(H2C(ON(H2))))))));None;C03905;None;None;alpha-N-Peptidyl-L-glutamine
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>;None;C03906;None;None;beta-L-Arabinose 1-phosphate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(O(H)C(O(H)O))(){1})))O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){7})))))<7>))))))<1>;None;C03908;None;None;trans-5-O-Caffeoyl-D-quinate
C(HC(O(H)O))(C(HO(*))(C(HO(H))(C(HO(H))(C(HO(*))(O(){1})))))<1>;None;C03909;None;None;(1,4-alpha-D-Galacturonosyl)n|(1,4-alpha-D-Galacturonosyl)n+1
C(H2)(C(H2)(C(C(HC(H3)C(H3)))(C(HC(H3))(O(){3}))<3>)C(HC(H3))(C(H)(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H3))(){3,6}))){7}){10})))))<10>)))<7>)<6>)))<3>));None;C03910;None;None;(24R,24'R)-Fucosterol epoxide|(24R,28R)-Fucosterolepoxide
C(H2)(C(H2)(C(H)(N(C(HC(O(H)O))(){1}))))<1>;None;C03912;1pyr5c;None;(S)-1-Pyrroline-5-carboxylate|L-1-Pyrroline-5-carboxylate|1-Pyrroline-5-carboxylate
C(H)(C(C(HC(OC(O(H)O))C(H3)))(C(C(H)(C(H)(C(H)(C(H)(C(N(H)(){1}){3})))))<3>))<1>;None;C03914;None;None;(S)-beta-Methylindolepyruvate
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(O)(C(H)(C(H)(C(C(H)(C(O(C(H3)))(C(O(H))(C(O(C(H3)))(C(H)(){6})))))<6>)))))<1>;None;C03915;None;None;1-O-Sinapoyl beta-D-glucoside
C(H2C(H2C(H2C(O(C(H2C(HO(H)C(H2O(P(O(H)O(C(H2C(H2N[+1](C(H3)C(H3)C(H3)))))O))))))O)))C(H2C(H2C(H2C(H2C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))))))))));None;C03916;None;None;1-Oleoylglycerophosphocholine|1-Oleoyl-sn-glycero-3-phosphocholine
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(O)(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;521-18-6;C03917;None;None;17beta-Hydroxyandrostan-3-one|5alpha-Dihydrotestosterone|Androstanolone|17beta-Hydroxy-5alpha-androstan-3-one
(C(ClC(HC(O(H)O)))C(HC(ClC(O(H)O))));72945-11-0;C03918;None;None;2,4-Dichloro-cis,cis-muconate
C(H2)(C(H2)(N(H)(C(O)(N(H)(C(O)(){1})))))<1>;None;C03919;None;None;2,4-Dioxotetrahydropyrimidine
(C(H2S(C(H3)))C(H2S(O(H)OO)));None;C03920;None;None;2-(Methylthio)ethanesulfonate|MethylcoenzymeM|MethylCoM
(C(H2C(OC(O(H)O)))C(HO(H)C(HO(H)C(O(H)O))));None;C03921;None;None;2-Dehydro-3-deoxy-D-glucarate
C(H2)(C(HN(H2))(C(HO(R))(C(HO(H))(C(HO(R))(C(HN(H2))(){1})))))<1>;None;C03922;None;None;2-Deoxystreptamine antibiotic
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(H)))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C03924;None;None;3'-Phosphooligoribonucleotide
C(H)(C(Br)(C(O(H))(C(Br)(C(H)(C(C(O(H)O))(){1})))))<1>;None;C03925;None;None;3,5-Dibromo-4-hydroxybenzoate
(C(HO(H)C(HO(H)C(H2O(H))))C(OC(H2C(O(H)O))));None;C03926;None;None;3-Dehydro-2-deoxy-D-gluconate
C(H)(C(H)(N(H)(C(H)(C(O(H))(C(O)(){1})))))<1>;1121-23-9;C03927;None;None;3-Hydroxy-4H-pyrid-4-one|3-Hydroxypyridin-4(1H)-one|3-Hydroxy-4(1H)-pyridinone
C(H2C(HN(H2)C(O(C(H2C(HO(H)C(H2O(P(O(H)O(H)O))))))O))C(H2C(ON(HC(HC(ON(HC(H2C(O(H)O))))C(H2S(H)))))));None;C03928;None;None;3-Phosphoglycerol-glutathione
C(H)(C(C(C(H3)C(H3)C(H3)))(C(O(H))(C(O(H))(C(H)(C(C(H3))(){1})))))<1>;None;C03929;None;None;3-tert-Butyl-5-methylcatechol
C(H2)(C(H2)(C(C(H3))(C(H)(C(C(H3))(C(H2)(C(H2)(C(HO(H))(C(C(H3)C(H3))(C(H)(){1,5})))))<5>C(O)(C(H)(C(C(H)(C(H2)(C(C(O(H)O)C(H3))(C(H2)(C(H2)(C(C(H3))(C(H2)(C(H2)(C(C(H3))(){3,7}))){8})))))<8>)<7>))))<3>))<1>;None;C03930;None;None;3alpha-Hydroxyglycyrrhetinate
(C(HO(H)C(H2C(O(H)O)))C(HO(H)C(OC(H2O(H)))));None;C03932;None;None;5-Dehydro-2-deoxy-D-gluconate
N(HC(OC(H2C(H2C(HN(H2)C(O(H)O)))))C(HC(O(H)O)C(H2C(H2C(ON(HR))))));None;C03933;None;None;5-Glutamyl-D-glutamyl-peptide
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(HO(H))(C(C(H)(C(O(H))(C(H)(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C03935;None;None;6beta-Hydroxyestradiol-17beta
None;;C03939;None;None;C03939|Acetyl-[acyl-carrier protein]|
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(R)(C(O(H))(C(R)(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;None;C03940;None;None;Anthocyanidin-3-O-D-glucoside
None;;C03941;None;None;C03941|Calmodulin N6-methyl-L-lysine|
None;;C03942;None;None;C03942|D-Galactosylglycosaminoglycan|
(C(H2C(HN(H2)C(H3)))C(HN(H2)C(O(H)O)));None;C03943;None;None;(2R,4S)-2,4-Diaminopentanoate|D-threo-2,4-Diaminopentanoate|2,4-Diaminopentanoate
C(H2)(C(H2)(O(C(H)(C(H)(C(C(C(O(H))(C(O(C(H3)))(C(C(O(C(C(H)(C(H)(C(H)(C(O(H))(C(C(O)(){10}){13})))))<13>)){6})<10>))O(){4}))<6>){1})<4>)))<1>;None;C03944;None;None;Dihydromethylsterigmatocystin
C(H)(C(H)(C(O)(C(C(H)(C(H)(C(O(H))(C(H)(C(O(){1}){4})))))<4>)O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){4})))))<4>))C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){2})))))<2>)<1>;None;C03946;None;None;Flavonol 3-O-beta-D-glucoside
C(H2)(C(HC(H2O(H)))(O(P(O(H)O)(O(){1}))))<1>;None;C03947;None;None;Glycerol 1,2-cyclic phosphate
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H2O(H)))))(C(O)(O(){1})))))<1>;None;C03948;None;None;N-Glycolyl-D-mannosaminolactone|Glycolyl-D-mannosaminolactone
None;;C03949;None;None;C03949|Immunoglobulin G glycopeptide|
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(O(H))(C(H)(){3})C(O)(C(H)(C(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){10})))))<10>O(){5})))))<5>))<3>))<1>;26811-41-6;C03951;None;None;Luteolin 7-O-beta-D-glucoside|Luteolin7-O-glucoside|7-O-beta-D-Glucosyl-5,7,3',4'-tetrahydroxyflavone
C(HC(H2O(H)))(C(HO(S(O(H)OO)))(C(HO(H))(C(HN(HC(OC(H3))))(C(HO(H))(O(){1})))))<1>;None;C03953;None;None;N-Acetylglucosamine 4-sulfate
C(H2)(C(C(H)(C(N(O(H)C(OC(H3))))(C(H)(C(H)(C(C(C(H)(C(H)(C(H)(C(H)(C(){1,8})))))<8>){2})))))<2>)<1>;None;C03954;None;None;N-Hydroxy-2-acetamidofluorene
(C(H2C(H2C(HN(H2)C(O(H)O))))C(H2C(H2N(O(H)C(OC(H3))))));None;C03955;None;None;N6-Acetyl-N6-hydroxy-L-lysine|N6-Acetyl-N6-hydroxylysine
C(HC(H2O(H)))(C(HO(*))(C(HO(H))(C(HO(H))(C(HO(C(H2C(HN(HC(RO))C(HO(H)C(HC(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(O(){1})))))<1>;None;C03956;None;None;Oligoglycosylglucosylceramide
C(ON(HC(HC(O(H)O)C(HO(H)C(O(H)O))))C(HRN(HC(OC(HRN(H2))))));None;C03957;None;None;Peptide 3-hydroxy-L-aspartate
C(H2)(C(H)(C(O)(N(C(H2)(C(H2)(C(H2)(C(HC(ON(H2)))(){4}))))<4>)N(H)(C(O)(C(H)(C(H2)(C(H2)(C(O)(N(H)(){5}))))<5>)))C(C(H)(N(C(H)(N(H)(){2}))))<2>);24305-27-9;C03958;None;None;Thyrotropin releasing hormone|TRH|Protirelin
None;;C03959;None;None;C03959|[DNA-directed RNA polymerase]|[RNApolymerase]|
None;;C03960;None;None;C03960|alpha-xylo-1,6-beta-D-Glucose|
(C(HN(H2)C(O(H)O))C(HO(H)C(O(H)O)));None;C03961;None;None;erythro-3-Hydroxy-L-aspartate|erythro-3-Hydroxy-L-asparticacid
C(H2)(C(H2)(C(HC(HC(H3)C(H3)))(C(H)(C(H2)(C(HC(H3))(){1})O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){6})))))<6>)))))<1>;None;C03962;None;None;(-)-Menthyl O-beta-D-glucoside
C(H2)(C(H)(C(H)(C(HC(H3))(C(C(H2)(C(H2)(C(HC(H3))(C(H2)(O(){5}))))O(){2})<5>)C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>))<2>)<1>;126-19-2;C03963;None;None;(25S)-5beta-Spirostan-3beta-ol|Sarsasapogenin
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(HO(H)C(O(H)O))))(){1})))))<1>;None;C03964;None;None;(R)-3-(4-Hydroxyphenyl)lactate
C(H2)(C(H2)(C(HC(HO(H)C(H3)))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C03965;None;None;(S)-20-Hydroxypregn-4-en-3-one
(C(H2O(P(O(H)O(H)O)))C(HO(H)C(H2O(R))));None;C03968;None;None;1-Alkyl-sn-glycero-3-phosphate|1-Alkyl-sn-glycerol3-phosphate|1-O-Alkyl-sn-glycerol3-phosphate
C(H2)(C(H2)(C(H2)(C(N(H2)C(O(H)O))(C(H2)(){1}))))<1>;52-52-8;C03969;None;None;1-Aminocyclopentanecarboxylate|1-Aminocyclopentanecarboxylicacid
C(HO(C(OC(H3)))C(H2O(R))C(H2O(H)));None;C03970;None;None;1-O-Alkyl-2-acetyl-sn-glycerol
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(C(H2O(H)))(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(H)(C(H2)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){14})))))<14>))O(){7})))))<7>)O(){2}))))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));None;C03971;None;None;1F-alpha-D-Galactosylraffinose
C(H2)(C(H2)(C(HC(O(H)O))(N(C(C(O(H)O))(C(H2)(){1})))))<1>;None;C03972;thdp;None;2,3,4,5-Tetrahydrodipicolinate|delta1-Piperidine-2,6-dicarboxylate|L-2,3,4,5-Tetrahydrodipicolinate|(S)-2,3,4,5-Tetrahydropyridine-2,6-dicarboxylate
(C(H2O(P(O(H)O(H)O)))C(HO(C(RO))C(H2O(H))));None;C03974;None;None;2-Acyl-sn-glycerol 3-phosphate
C(H)(C(O)(N(H)(C(C(C(O)(N(H)(C(N(H2))(N(){4})))N(){1}))<4>)))<1>;529-69-1;C03975;None;None;2-Amino-4,7-dihydroxypteridine|Isoxanthopterin
C(H2C(OC(O(H)O))C(HO(H)C(HO(H)C(H3))));None;C03979;None;None;2-Dehydro-3-deoxy-L-rhamnonate
C(H2)(C(HN(H2))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HN(H2))(){1})))))<1>;None;C03980;None;None;2-Deoxystreptamine 4-phosphate
(C(HC(O(H)O))C(O(H)C(O(H)O)));None;C03981;None;None;2-Hydroxyethylenedicarboxylate|enol-Oxaloacetate|enol-Oxaloaceticacid|2-Hydroxybut-2-enedioicacid
(C(HC(HC(H3)C(H3)))N(O(C(H3))));None;C03982;None;None;2-Methylpropanal O-methyloxime
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(H)))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C03983;None;None;3'-Hydroxyloligoribonucleotide
(C(H2C(HC(C(H3)C(H3))))C(H2C(O(H)C(HC(H2))C(H3))));78-70-6;C03985;None;None;3,7-Dimethylocta-1,6-dien-3-ol|Linalool
C(H)(C(H)(C(C(O(H)O))(C(N(H2))(C(O(H))(C(C(H3))(){1})))))<1>;None;C03986;None;None;3-Hydroxy-4-methylanthranilate
C(H)(C(H)(C(O(H))(C(I)(C(H)(C(C(H2C(OC(O(H)O))))(){1})))))<1>;None;C03987;None;None;3-Iodo-4-hydroxyphenylpyruvate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(H)(O(C(C(H2O(H)))(C(H)(C(HO(H))(C(HC(H2O(H)))(O(){8}))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){11})))))<11>)))<8>)O(){2})))))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));None;C03989;None;None;3F-alpha-D-Galactosylraffinose
C(H2)(C(H2)(C(HC(HC(H3)C(H2C(H2C(O(H)O)))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;434-13-9;C03990;None;None;3alpha-Hydroxy-5beta-cholanate|3alpha-Hydroxy-5beta-cholanicacid|Lithocholicacid|Lithocholate
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(H)(C(C(O(H)O))(C(H)(C(H)(){3})))))<3>))<1>;None;C03993;None;None;4-(beta-D-Glucosyloxy)benzoate
C(H)(C(H)(C(N(HN(H2)))(C(H)(C(H)(C(C(H2O(H)))(){1})))))<1>;None;C03994;None;None;4-Hydroxymethylphenylhydrazine
C(H2)(C(H)(C(HO(H))(C(O)(C(HO(H))(C(HC(H2O(H)))(){1})))N(H)(C(C(H)(C(H)(C(N[+1](O(H)O))(C(H)(C(H)(){4})))))<4>)))<1>;None;C03995;None;None;4-Nitrophenyl-3-ketovalidamine|p-Nitrophenyl-3-ketovalidamine|N-(4-Nitrophenyl)-3-ketovalidamine
C(H2)(C(C(H)(N(C(C(H3))(C(O(H))(C(C(H2O(H)))(){2})))))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));None;C03996;None;None;5'-O-beta-D-Glucosylpyridoxine
C(H2)(C(H)(N(C(H)(C(C(H2O(H)))(C(N(H2))(N(C(O)(){3})))))<3>O(C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(){1}))))<1>;None;C03997;None;None;5-Hydroxymethyldeoxycytidylate|2'-Deoxy-5-hydroxymethylcytidine5'-phosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N[+1](C(H3))(C(C(N(C(N(H2))(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;None;C03998;None;None;7-Methylguanosine 5'-phosphate
(C(H2O(P(O(H)O(C(H2C(HO(H)C(H2O(H)))))O)))C(HO(H)C(H2O(P(O(H)O(C(OC(HN(H2)C(H3))))O)))));None;C03999;None;None;Alanyl-poly(glycerolphosphate)
C(H)(C(H)(C(H)(C(C(H2O(C(OC(HC(OC(H3))C(H3))))))(C(H)(C(H)(){1})))))<1>;None;C04000;None;None;Benzyl 2-methyl-3-oxobutanoate
None;;C04001;None;None;C04001|Blood coagulation Factor VIIIa|
(C(C(O(H)O)C(HC(O(H)O)))C(H2C(H2C(O(H)O))));None;C04002;None;None;But-1-ene-1,2,4-tricarboxylate|Homo-cis-aconitate
C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HO(H))(){1})))))<1>;None;C04006;None;None;1D-myo-Inositol 3-phosphate|D-myo-Inositol3-phosphate|myo-Inositol3-phosphate|Inositol3-phosphate|1D-myo-Inositol3-monophosphate|D-myo-Inositol3-monophosphate|myo-Inositol3-monophosphate|Inositol3-monophosphate
C(H2)(C(H)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){3})))))<3>O(C(C(H)(C(C(H)(C(H)(C(C(O)(){1}){4}))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){8})))))<8>))))<4>)))<1>;None;C04007;None;None;Flavanone 7-O-beta-D-glucoside
None;;C04008;None;None;C04008|Fucosyl-asialo-agalacto-fetuin|
###############################################################################################################################################################################################################################################################;None;C04010;None;None;Glycoprotein phospho-D-mannose
(C(HC(H3)C(H2R))C(S(CoA)O));None;C04013;None;None;Multi-methyl-branched acyl-CoA
C(H2)(C(HO(C(OC(H3))))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(C(O(H)C(O(H)O))(){1})))))<1>;None;C04015;None;None;N-Acetyl-4-O-acetylneuraminate
C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(C(OC(H3)))C(HO(H)C(H2O(H)))))(O(C(O(H)C(O(H)O))(){1})))))<1>;None;C04016;None;None;N-Acetyl-7-O-acetylneuraminate
C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(C(OC(H3)))))))(O(C(O(H)C(O(H)O))(){1})))))<1>;None;C04017;None;None;N-Acetyl-9-O-acetylneuraminate
None;;C04018;None;None;C04018|N-Acetyl-D-galactosaminoglycan|
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H3))))(C(HO(R))(O(){1})))))<1>;None;C04019;None;None;N-Acetyl-alpha-D-glucosaminide
(C(H2C(H2C(H2C(H2N(H2)))))C(HN(HC(HC(O(H)O)C(H3)))C(O(H)O)));34522-31-1;C04020;None;None;N2-(D-1-Carboxyethyl)-L-lysine|D-Lysopine|Lysopine
C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(C(H2C(HO(C(RO))C(H2O(C(RO))))))O)))(){1})))))<1>;None;C04021;None;None;Phosphatidylinositol phosphate|1,2-Diacyl-sn-glycero-3-phospho-(1'-inositol-4'-phosphate)
(C(H2C(O(H)O))C(H2S[+1](C(H3)C(H3))));7314-30-9;C04022;None;None;S,S-Dimethyl-beta-propiothetin|S-Dimethylsulfoniumpropionic acid|Dimethylpropiothetin|DMPT|DMSP
C(H)(C(H)(C(C(C(C(O(H))(C(H)(C(O(H))(){3}))C(O)(C(H)(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){9})))))<9>O(){4})))))<4>)<3>O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;61360-94-9;C04024;None;None;Vitexin 2''-O-beta-D-glucoside|Flavosativaside|2''-O-Glucosylvitexin
C(H2C(O(H)O)C(O(H)O));None;C04025;None;None;alpha,omega-Dicarboxylic acid
C(H2C(H2N(HC(N(H2)N(H))))C(H2C(HN(HR)C(O(H)O))));None;C04026;None;None;alpha-N-Substituted L-arginine
